slot,player,decision_rank,decision,age,position_or_role,hand_or_bat,is_40man,model_support_tier,failure_warning_tier,model_margin_direction,unified_fit_score,market_feasibility_score,market_status,contract_bucket,latest_transactions,market_reason,model_reason,risk_summary
foreign_hitter,Will Brennan,1,CONTACT_1ST,28.0,Outfielder,Left,False,강함,낮음,긍정,80.52,100.0,manual_contact_priority_locked,recent_dfa_high_access,2026-05-30: San Francisco Giants recalled LF Will Brennan from Sacramento River Cats. | 2026-05-31: San Francisco Giants optioned LF Will Brennan to Sacramento River Cats. | 2026-06-10: San Francisco Giants designated LF Will Brennan for assignment. | 2026-06-17: San Francisco Giants sent LF Will Brennan outright to Sacramento River Cats.,"DFA/outright 후 40-man 밖, age 28, OF, 시장 접근성 최상위",SSG가 찾는 contact-floor OF. 접촉형 프로필과 6/17 outright 신호가 결합됨.,"medical history watch는 확인 필요하지만, Matos보다 KBO행 현실성이 높음."
foreign_hitter,Dominic Fletcher,2,CONTACT_2ND,28.0,Outfielder,Left,False,강함,낮음,긍정,78.945,60.0,contract_verification_needed,non40man_or_outrighted_medium_access,2025-10-13: Chicago White Sox sent RF Dominic Fletcher outright to Charlotte Knights. | 2025-12-20: Pittsburgh Pirates signed free agent RF Dominic Fletcher to a minor league contract. | 2025-12-23: Pittsburgh Pirates invited non-roster RF Dominic Fletcher to spring training. | 2025-12-23: RF Dominic Fletcher roster status changed by Pittsburgh Pirates.,"age 28, non-40man, minor-league contract, OF",독립 후보 신호와 구조화 모델이 교차하는 현실형 외야수.,장타 ceiling은 낮아 중심타선 해결사보다 run-kill avoidance/OF 안정화 역할.
foreign_hitter,Dylan Carlson,3,CONTACT_3RD,27.0,Outfielder,Switch,False,중상,낮음,긍정,72.894,60.0,contract_verification_needed,non40man_or_outrighted_medium_access,2026-04-10: Chicago Cubs designated LF Dylan Carlson for assignment. | 2026-04-12: Chicago Cubs sent LF Dylan Carlson outright to Iowa Cubs. | 2026-04-18: Chicago Cubs signed free agent LF Dylan Carlson to a minor league contract. | 2026-05-12: Philadelphia Phillies signed LF Dylan Carlson.,"age 27, DFA/outright 이력, non-40man signal, switch-hitting OF","Matos보다 나이/커리어 단계가 KBO 전환에 가깝고, 모델 Top 3도 통과.",최근 소속권과 opt-out/release 조건 확인 필요.
foreign_hitter,Luis Matos,HOLD,DISCOVERY_HOLD,24.0,Outfielder,Right,False,강함,낮음,긍정,81.367,60.0,contract_verification_needed,non40man_or_outrighted_medium_access,2026-04-15: RF Luis Matos changed number to 42. | 2026-04-16: RF Luis Matos changed number to 21. | 2026-04-24: Milwaukee Brewers designated RF Luis Matos for assignment. | 2026-04-29: Milwaukee Brewers sent RF Luis Matos outright to Nashville Sounds.,"초기 discovery 모델 리드였지만 age 24, 현 소속권과 MLB 재도전 가치가 큼",데이터마이닝 발견 후보로 보존.,현실성 반영 게이트에서는 active Top 3가 아니라 hold.
foreign_hitter,Nolan Jones,HOLD,POWER_DISCOVERY_COST_HOLD,28.0,Outfielder,Left,False,강함,낮음,긍정,73.04,50.0,low_access_or_unknown_market_status,non40man_or_outrighted_medium_access,2025-10-03: Cleveland Guardians activated RF Nolan Jones. | 2026-03-20: Cleveland Guardians sent RF Nolan Jones outright to Columbus Clippers. | 2026-06-11: Cleveland Guardians traded RF Nolan Jones and cash to Chicago White Sox for Future Considerations.,power/OBP discovery 신호가 강하지만 6/11 cash trade와 2.0M salary signal,비용/권리 조건이 풀리면 재상승 가능.,대체 외국인 월봉 구조에는 과하게 비쌀 위험.
foreign_hitter,Jack Suwinski,WATCH,UPSIDE_WATCHLIST,27.0,Outfielder,Left,False,약함,높음,경고,,60.0,contract_verification_needed,non40man_or_outrighted_medium_access,2026-02-16: Pittsburgh Pirates designated RF Jack Suwinski for assignment. | 2026-02-21: Los Angeles Dodgers claimed RF Jack Suwinski off waivers from Pittsburgh Pirates. | 2026-03-01: RF Jack Suwinski roster status changed by Los Angeles Dodgers. | 2026-03-02: Los Angeles Dodgers sent RF Jack Suwinski outright to Oklahoma City Comets.,BB/barrel upside와 반복 후보 신호,좌타 장타 watchlist.,실패 경고 신호와 K%가 SSG run-kill avoidance 조건과 충돌.
foreign_pitcher,Josh Fleming,1,CONTACT_1ST,30.0,Pitcher,Left,False,중,보통,긍정,80.886,60.0,contract_verification_needed,non40man_or_outrighted_medium_access,2026-04-06: Toronto Blue Jays selected the contract of LHP Josh Fleming from Buffalo Bisons. | 2026-04-07: Toronto Blue Jays designated LHP Josh Fleming for assignment. | 2026-04-09: Toronto Blue Jays sent LHP Josh Fleming outright to Buffalo Bisons. | 2026-04-12: Toronto Blue Jays signed free agent LHP Josh Fleming to a minor league contract.,"age 30, non-40man, minor contract, current AAA starter load","53.0 IP/10 GS, BB/9 1.36, HR/9 0.51로 SSG traffic-command 조건에 가장 근접.",에이스형 구위가 아니라 안정화형 선발/스윙맨으로 정의해야 함.
foreign_pitcher,Keegan Thompson,2,CONTACT_2ND,31.0,Pitcher,Right,False,약함,높음,경고,76.022,100.0,manual_contact_priority_locked,recent_dfa_high_access,2026-03-25: Colorado Rockies sent RHP Keegan Thompson outright to Albuquerque Isotopes. | 2026-05-20: Colorado Rockies selected the contract of RHP Keegan Thompson from Albuquerque Isotopes. | 2026-06-09: Colorado Rockies designated RHP Keegan Thompson for assignment. | 2026-06-10: Colorado Rockies sent RHP Keegan Thompson outright to Albuquerque Isotopes.,"age 31, recent DFA/outright high-access, current AAA starter load",시장 접근성 신호가 강함. HR/9 0.56으로 damage-control 측면이 좋음.,K/9 5.29라 swing-and-miss ceiling은 낮음.
foreign_pitcher,Kolby Allard,3,CONTACT_3RD,28.0,Pitcher,Left,False,중,보통,보통,75.54,60.0,contract_verification_needed,non40man_or_outrighted_medium_access,2026-04-16: Cleveland Guardians sent LHP Kolby Allard outright to Columbus Clippers. | 2026-04-17: Cleveland Guardians signed free agent LHP Kolby Allard to a minor league contract. | 2026-05-19: Cleveland Guardians signed free agent LHP Kolby Allard to a minor league contract. | 2026-06-18: Philadelphia Phillies signed free agent LHP Kolby Allard to a minor league contract.,"age 28, left-handed, repeated DFA/outright/minor deal, non-40man","좌완, HR/9 0.36, 선발 표본 존재. Fleming 실패 시 같은 좌완 계열 대안.",BB/9 3.20과 최근 소속권 확인 필요.
foreign_pitcher,Bruce Zimmermann,WATCH,K_UPSIDE_WATCH,31.0,Pitcher,Left,False,약함,높음,보통,76.935,60.0,contract_verification_needed,non40man_or_outrighted_medium_access,2026-01-05: St. Louis Cardinals signed free agent LHP Bruce Zimmermann to a minor league contract.,"age 31, non-40man LHP, 67.2 IP/13 GS","K/9 9.98, BB/9 2.26으로 선발 표본은 좋음.",HR/9 1.86이 KBO 장타 억제 조건과 충돌해 active Top 3 밖.
