locked_card_id,fit_slot,source_rebuild_priority,source_rebuild_lane,source_type,required_source,source_intake_status,target_manual_field,review_question,source_url,source_title,source_date,source_publisher,source_language,source_evidence_strength,extracted_value_or_claim,supports_or_blocks,reviewer_notes,reviewed_by,reviewed_date,source_release_policy,candidate_name_release_allowed,score_release_allowed,rank_release_allowed,shortlist_label_allowed,is_final_recommendation,scouting_card_release_allowed,manual_review_unlock_allowed,recommendation_label,prefill_method
LOCKED-FH-6CE4F17560,foreign_hitter,P0_read_existing_source_now,targeted_contract_access_read,contract_access_source,True,prefilled_needs_human_review,contract_source_url,"Does this source clarify salary, option, buyout, club control, agent, or access feasibility?",https://news.google.com/rss/articles/CBMilgFBVV95cUxNTFIwT25XZkNiVkY4X09PeU9qZjB0MXZBMzhXNWNSc3Z1dVJxZXY5bGxrYmgxVngwZ3VzMFhVMG5WNC1GOWxIajg1YTFKNFNSaTltSkExbEFVRTVMVXVqRlJrNTFCTkExdHB5OGMwSDZIYmN5b3V6dmplMk5PWmZLbU9STW1MUUpKWEVLT09OTDhkUldXQ3c?oc=5,Braves Re-Sign José Azócar To Minor League Deal - MLB Trade Rumors,2026-05-26 07:00:00+00:00,article_metadata,unknown,secondary,Article metadata suggests contract_access_source; reviewer must open and verify claim.,context_only,Auto-prefilled from prior candidate-news metadata; human review still required.,automation_prefill,2026-06-22,locked_source_evidence_prefill_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed,article_metadata_source
LOCKED-FH-6CE4F17560,foreign_hitter,P0_read_existing_source_now,targeted_contract_access_read,current_stat_page,True,prefilled_needs_human_review,stat_source_url_1,Does this source verify the current stat/role baseline and snapshot date?,"https://statsapi.mlb.com/api/v1/people/640492?hydrate=currentTeam,stats(group=[hitting,fielding],type=[yearByYear])",MLB Stats API player endpoint by MLBAM id,,MLB Stats API,en,primary,Official player id endpoint available for current stat baseline; reviewer must verify snapshot.,context_only,Auto-prefilled from MLBAM id; human review still required.,automation_prefill,2026-06-22,locked_source_evidence_prefill_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed,official_id_source
LOCKED-FH-6CE4F17560,foreign_hitter,P0_read_existing_source_now,targeted_contract_access_read,korea_or_overseas_willingness_source_if_available,True,not_started_locked,korea_willingness_source_url,"Does this source indicate Korea/overseas openness, role acceptance, or agent posture?",,,,,,,,,,,,locked_source_evidence_intake_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed,
LOCKED-FH-6CE4F17560,foreign_hitter,P0_read_existing_source_now,targeted_contract_access_read,medical_current_status_source,True,not_started_locked,medical_source_url,"Does this source clarify injury, rehab, IL, workload interruption, or current availability?",,,,,,,,,,,,locked_source_evidence_intake_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed,
LOCKED-FH-6CE4F17560,foreign_hitter,P0_read_existing_source_now,targeted_contract_access_read,of_dh_role_and_defense_source,True,prefilled_needs_human_review,video_source_url_2,"Does this source clarify OF/DH role, defense, running, or platoon usability?","https://statsapi.mlb.com/api/v1/people/640492?hydrate=currentTeam,stats(group=[fielding],type=[yearByYear])",MLB Stats API fielding context by MLBAM id,,MLB Stats API,en,primary,Official endpoint can support OF/DH role and defense-source review; reviewer must verify role context.,context_only,Auto-prefilled from MLBAM id; human review still required.,automation_prefill,2026-06-22,locked_source_evidence_prefill_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed,official_id_source
LOCKED-FH-6CE4F17560,foreign_hitter,P0_read_existing_source_now,targeted_contract_access_read,recent_video_or_scouting_report,True,not_started_locked,video_source_url_1,"Does this source show current tools, role, or scouting traits rather than old reputation?",,,,,,,,,,,,locked_source_evidence_intake_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed,
LOCKED-FH-08E3B8989A,foreign_hitter,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,contract_access_source,True,not_started_locked,contract_source_url,"Does this source clarify salary, option, buyout, club control, agent, or access feasibility?",,,,,,,,,,,,locked_source_evidence_intake_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed,
LOCKED-FH-08E3B8989A,foreign_hitter,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,current_stat_page,True,prefilled_needs_human_review,stat_source_url_1,Does this source verify the current stat/role baseline and snapshot date?,"https://statsapi.mlb.com/api/v1/people/641820?hydrate=currentTeam,stats(group=[hitting,fielding],type=[yearByYear])",MLB Stats API player endpoint by MLBAM id,,MLB Stats API,en,primary,Official player id endpoint available for current stat baseline; reviewer must verify snapshot.,context_only,Auto-prefilled from MLBAM id; human review still required.,automation_prefill,2026-06-22,locked_source_evidence_prefill_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed,official_id_source
LOCKED-FH-08E3B8989A,foreign_hitter,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,korea_or_overseas_willingness_source_if_available,True,not_started_locked,korea_willingness_source_url,"Does this source indicate Korea/overseas openness, role acceptance, or agent posture?",,,,,,,,,,,,locked_source_evidence_intake_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed,
LOCKED-FH-08E3B8989A,foreign_hitter,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,medical_current_status_source,True,not_started_locked,medical_source_url,"Does this source clarify injury, rehab, IL, workload interruption, or current availability?",,,,,,,,,,,,locked_source_evidence_intake_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed,
