signal_id,slot_implication,context,sample,observed,rank_context,hidden_need_score,candidate_screen_translation,source_table
starter_context_damage,foreign_pitcher,pitcher_type:vs_right_orthodox,1281.0,"ERA 5.85, WHIP 1.60, OPSA 0.806",ERA rank 10/10; WHIP rank 10/10; OPSA rank 10/10,10.0,"traffic command plus early-count strike/zone stability, not pure strikeout-first profile",outputs/tables/ssg_pitching_message_v0_2_context_validation.csv
starter_context_damage,foreign_pitcher,inning:early_1_3,859.0,"ERA 5.81, WHIP 1.64, OPSA 0.790",ERA rank 10/10; WHIP rank 10/10; OPSA rank 10/10,9.88888888888889,"traffic command plus early-count strike/zone stability, not pure strikeout-first profile",outputs/tables/ssg_pitching_message_v0_2_context_validation.csv
starter_context_damage,foreign_pitcher,runner:risp,754.0,"ERA 15.13, WHIP 1.78, OPSA 0.847",ERA rank 10/10; WHIP rank 10/10; OPSA rank 10/10,9.88888888888889,"traffic command plus early-count strike/zone stability, not pure strikeout-first profile",outputs/tables/ssg_pitching_message_v0_2_context_validation.csv
starter_context_damage,foreign_pitcher,runner:runner_on_base,1274.0,"ERA 9.75, WHIP 1.56, OPSA 0.800",ERA rank 10/10; WHIP rank 10/10; OPSA rank 10/10,9.666666666666668,"traffic command plus early-count strike/zone stability, not pure strikeout-first profile",outputs/tables/ssg_pitching_message_v0_2_context_validation.csv
starter_context_damage,foreign_pitcher,home_away:away,1269.0,"ERA 5.80, WHIP 1.65, OPSA 0.784",ERA rank 10/10; WHIP rank 10/10; OPSA rank 8/10,9.666666666666668,"traffic command plus early-count strike/zone stability, not pure strikeout-first profile",outputs/tables/ssg_pitching_message_v0_2_context_validation.csv
replacement_count_survival,foreign_hitter,OF_lower_or_mixed_usage in two_strikes,277.0,"OPS 0.573, OBP 0.282, K% 0.336, RBI/PA 0.087",SSG role segment only; candidate screen should validate with candidate-level contact data,5.128742774851551,"two-strike survival and chase/contact stability, especially for OF/DH bridge roles",outputs/tables/ssg_2026_situation_count_class_splits.csv
replacement_count_survival,foreign_hitter,DH_primary_or_bridge in two_strikes,130.0,"OPS 0.459, OBP 0.277, K% 0.515, RBI/PA 0.077",SSG role segment only; candidate screen should validate with candidate-level contact data,3.445337995337995,"two-strike survival and chase/contact stability, especially for OF/DH bridge roles",outputs/tables/ssg_2026_situation_count_class_splits.csv
of_role_vs_starter_hand,foreign_hitter,OF_3-5_run_production vs 우투 starter,187.0,"OPS 0.595, OBP 0.294, SLG 0.301, ISO 0.084",OPS rank 10/10; OBP rank 10/10; SLG rank 10/10,3.3375,RHP-resistant OF/DH bat with OBP plus damage; do not screen only for raw HR,outputs/tables/ssg_2026_of_role_by_opponent_starter_hand.csv
of_role_vs_starter_hand,foreign_hitter,OF_6-9_lower_lineup vs 우투 starter,266.0,"OPS 0.799, OBP 0.370, SLG 0.429, ISO 0.159",OPS rank 3/10; OBP rank 3/10; SLG rank 3/10,3.325,RHP-resistant OF/DH bat with OBP plus damage; do not screen only for raw HR,outputs/tables/ssg_2026_of_role_by_opponent_starter_hand.csv
replacement_count_survival,foreign_hitter,OF_high_leverage_usage in two_strikes,113.0,"OPS 0.466, OBP 0.221, K% 0.416, RBI/PA 0.142",SSG role segment only; candidate screen should validate with candidate-level contact data,2.848446989415235,"two-strike survival and chase/contact stability, especially for OF/DH bridge roles",outputs/tables/ssg_2026_situation_count_class_splits.csv
of_rbi_game_result_cliff,foreign_hitter,game result by total OF RBI bucket,19.0,"OF RBI 0 games: win% 0.263, team runs 3.11; OF RBI 3+ games: win% 0.688, team runs 8.94",within-SSG game-result contrast,2.6473684210526316,"OF bat should be evaluated by run-conversion frequency, not only season HR/SLG",outputs/tables/ssg_2026_team_result_by_of_rbi_bucket.csv
of_role_vs_starter_hand,foreign_hitter,OF_1-2_table_setters vs 우투 starter,83.0,"OPS 0.526, OBP 0.205, SLG 0.321, ISO 0.123",OPS rank 10/10; OBP rank 10/10; SLG rank 8/10,1.725,RHP-resistant OF/DH bat with OBP plus damage; do not screen only for raw HR,outputs/tables/ssg_2026_of_role_by_opponent_starter_hand.csv
of_role_vs_starter_hand,foreign_hitter,OF_6-9_lower_lineup vs 좌투 starter,132.0,"OPS 0.658, OBP 0.250, SLG 0.408, ISO 0.176",OPS rank 5/10; OBP rank 8/10; SLG rank 3/10,1.65,RHP-resistant OF/DH bat with OBP plus damage; do not screen only for raw HR,outputs/tables/ssg_2026_of_role_by_opponent_starter_hand.csv
of_role_vs_starter_hand,foreign_hitter,OF_3-5_run_production vs 좌투 starter,82.0,"OPS 1.048, OBP 0.463, SLG 0.585, ISO 0.231",OPS rank 2/10; OBP rank 2/10; SLG rank 2/10,1.025,RHP-resistant OF/DH bat with OBP plus damage; do not screen only for raw HR,outputs/tables/ssg_2026_of_role_by_opponent_starter_hand.csv
replacement_count_survival,foreign_hitter,OF_lower_or_mixed_usage in pitcher_count,51.0,"OPS 0.852, OBP 0.320, K% 0.000, RBI/PA 0.196",SSG role segment only; candidate screen should validate with candidate-level contact data,0.85,"two-strike survival and chase/contact stability, especially for OF/DH bridge roles",outputs/tables/ssg_2026_situation_count_class_splits.csv
replacement_count_survival,foreign_hitter,DH_primary_or_bridge in pitcher_count,17.0,"OPS 0.580, OBP 0.294, K% 0.000, RBI/PA 0.118",SSG role segment only; candidate screen should validate with candidate-level contact data,0.5236694677871149,"two-strike survival and chase/contact stability, especially for OF/DH bridge roles",outputs/tables/ssg_2026_situation_count_class_splits.csv
replacement_count_survival,foreign_hitter,OF_high_leverage_usage in pitcher_count,21.0,"OPS 0.933, OBP 0.333, K% 0.000, RBI/PA 0.333",SSG role segment only; candidate screen should validate with candidate-level contact data,0.35,"two-strike survival and chase/contact stability, especially for OF/DH bridge roles",outputs/tables/ssg_2026_situation_count_class_splits.csv
