fit_slot,slot_label,player_id,player_name,team_or_org,primary_position,primary_position_abbrev,age,bat_side,pitch_hand,birth_country,unified_fit_score,weighted_component_score,categorical_risk_penalty,role_or_position_adjustment,sample_adjustment,age_adjustment,hard_gate,role_or_position_note,sample_note,age_note,data_mining_reason,structured_risk_check,market_realism_status,contract_control_bucket,medical_risk_bucket,sensitivity_band,ssg_fit_component,kbo_translation_component,market_realism_component,tool_process_component,surplus_access_component,failure_resilience_component,internal_prior_score,hitter_recent_pa,hitter_recent_woba,hitter_recent_bb_pct,hitter_recent_k_pct,hitter_recent_hardhit_rate,hitter_recent_barrel_rate,pitcher_milb_role_continuity_bucket,pitcher_milb_2026_ip,pitcher_milb_2026_games_started,pitcher_milb_2026_k9,pitcher_milb_2026_bb9,pitcher_milb_2026_hr9,unified_rank_within_slot
foreign_hitter,외인타자,682641.0,Luis Matos,MIL,Outfielder,RF,24.0,Right,Right,Venezuela,81.367,73.867,0.5,4.0,3.0,1.0,pass,OF 우선순위 충족,타격 표본 안정: recent PA 205,연령 upside: 24세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 72.0; KBO translation 75.2; market 93.7; recent PA 205, wOBA 0.300",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,72.018,75.25,93.716,62.256,67.118,62.426,66.124,205.0,0.3002439024390244,0.0585365853658535,0.1658536585365853,0.3617620601917294,0.0676244570664884,,,,,,,1
foreign_hitter,외인타자,686823.0,Will Brennan,SF,Outfielder,LF,28.0,Left,Left,USA,80.52,82.02,4.0,4.0,-1.5,0.0,pass,OF 우선순위 충족,타격 표본 작음: recent PA 36,연령 정상권: 28세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 80.4; KBO translation 85.0; market 99.6; recent PA 36, wOBA 0.116",market_realism_status=manual_contact_priority_locked (-2.5) | medical_risk_bucket=medical_history_watch (-3) | contract_access_bonus=recent_dfa_high_access (+1.5),manual_contact_priority_locked,recent_dfa_high_access,medical_history_watch,stable_top25_locked,80.414,85.037,99.637,68.792,82.973,63.534,74.672,36.0,0.1161616161616161,0.0277777777777777,0.111111111111111,0.2764619883040936,0.0,,,,,,,2
foreign_hitter,외인타자,666150.0,Dominic Fletcher,PIT,Outfielder,RF,28.0,Left,Left,USA,78.945,76.945,0.5,4.0,-1.5,0.0,pass,OF 우선순위 충족,타격 표본 작음: recent PA 34,연령 정상권: 28세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 75.4; KBO translation 80.3; market 93.8; recent PA 34, wOBA 0.310",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,75.414,80.324,93.818,68.945,67.22,63.885,70.066,34.0,0.3102941176470588,0.0588235294117647,0.0588235294117647,0.4,0.0333333333333333,,,,,,,3
foreign_hitter,외인타자,689041.0,Rhylan Thomas,,Outfielder,LF,26.0,Left,Left,USA,78.165,77.665,0.5,4.0,-4.0,1.0,pass,OF 우선순위 충족,타격 표본 매우 작음: recent PA 10,연령 upside: 26세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 66.0; KBO translation 87.0; market 96.4; recent PA 10, wOBA 0.285",market_realism_status=manual_contact_priority_locked (-2.5) | contract_access_bonus=recent_free_agent_or_released_high_access (+2),manual_contact_priority_locked,recent_free_agent_or_released_high_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,66.047,87.037,96.369,76.345,79.411,66.1,71.951,10.0,0.285,0.1,0.0,0.3333333333333333,0.0,,,,,,,4
foreign_hitter,외인타자,672359.0,Tirso Ornelas,SD,Outfielder,LF,26.0,Left,Right,Mexico,76.633,76.133,0.5,4.0,-4.0,1.0,pass,OF 우선순위 충족,타격 표본 매우 작음: recent PA 16,연령 upside: 26세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 75.0; KBO translation 77.3; market 93.8; recent PA 16, wOBA 0.144",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,74.959,77.266,93.784,71.494,66.892,62.96,69.364,16.0,0.14375,0.125,0.125,0.4166666666666667,0.0833333333333333,,,,,,,5
foreign_hitter,외인타자,682183.0,Drew Avans,COL,Outfielder,LF,30.0,Left,Left,USA,74.27,74.77,0.5,4.0,-4.0,0.0,pass,OF 우선순위 충족,타격 표본 매우 작음: recent PA 18,연령 정상권: 30세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 71.9; KBO translation 80.3; market 93.7; recent PA 18, wOBA 0.106",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,71.938,80.314,93.682,57.994,66.79,63.326,66.567,18.0,0.1058823529411764,0.0,0.3333333333333333,0.1818181818181818,0.0,,,,,,,6
foreign_hitter,외인타자,666134.0,Nolan Jones,CLE,Outfielder,RF,28.0,Left,Right,USA,73.04,71.04,5.0,4.0,3.0,0.0,pass,OF 우선순위 충족,타격 표본 안정: recent PA 403,연령 정상권: 28세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 69.7; KBO translation 68.5; market 92.2; recent PA 403, wOBA 0.278",market_realism_status=low_access_or_unknown_market_status (-5),low_access_or_unknown_market_status,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,69.737,68.455,92.228,57.604,69.288,62.22,62.763,403.0,0.2779448621553885,0.0967741935483871,0.2803970223325062,0.4713114754098361,0.0860655737704918,,,,,,,7
foreign_hitter,외인타자,670276.0,Cal Stevenson,DET,Outfield,OF,29.0,Left,Left,USA,73.011,73.511,0.5,4.0,-4.0,0.0,pass,OF 우선순위 충족,타격 표본 매우 작음: recent PA 8,연령 정상권: 29세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 69.6; KBO translation 78.6; market 93.6; recent PA 8, wOBA 0.225",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,69.567,78.642,93.58,58.413,66.688,62.72,65.375,8.0,0.225,0.0,0.25,0.1666666666666666,0.0,,,,,,,8
foreign_hitter,외인타자,666185.0,Dylan Carlson,PHI,Outfielder,LF,27.0,Switch,Left,USA,72.894,65.394,0.5,4.0,3.0,1.0,pass,OF 우선순위 충족,타격 표본 안정: recent PA 245,연령 upside: 27세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 61.4; KBO translation 61.3; market 93.3; recent PA 245, wOBA 0.285",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,61.392,61.334,93.308,49.639,66.711,58.294,56.005,245.0,0.2846938775510204,0.0857142857142857,0.2285714285714284,0.2999004479840716,0.0659780985564957,,,,,,,9
foreign_hitter,외인타자,663536.0,Tristin English,ATL,Outfield,OF,29.0,Right,Right,USA,71.696,72.196,0.5,4.0,-4.0,0.0,pass,OF 우선순위 충족,타격 표본 매우 작음: recent PA 23,연령 정상권: 29세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 68.3; KBO translation 76.2; market 93.5; recent PA 23, wOBA 0.124",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,68.291,76.22,93.546,55.6,66.654,62.058,63.683,23.0,0.1239130434782608,0.0434782608695652,0.3043478260869565,0.3571428571428571,0.0,,,,,,,10
