locked_card_id,fit_slot,card_title,review_wave,review_lane,source_search_intensity,first_reviewer_role,second_reviewer_role,evidence_gap_statement,kill_switch_question,manual_fields_to_complete_first,ssg_fit_band,translation_band,market_realism_band,failure_risk_band,source_confidence_band,primary_risk_focus,usable_article_rows_band,korean_article_rows_band,source_rebuild_priority,source_rebuild_lane,source_file_status,required_source_bundle,public_search_templates,stat_video_done_definition,feasibility_done_definition,manual_unlock_minimum_fields,source_rebuild_release_policy,candidate_name_release_allowed,score_release_allowed,rank_release_allowed,shortlist_label_allowed,is_final_recommendation,scouting_card_release_allowed,manual_review_unlock_allowed,recommendation_label
LOCKED-FH-6CE4F17560,foreign_hitter,Locked OF/DH fit review card,wave_1_evidence_read_now,contract_access_check,existing_source_review,source_contract_reviewer,hitter_video_reviewer,Contract/access risk is still the first disproof target.,Does video/stat review show a contact-floor or defensive-role flaw that cancels the SSG fit?,review_owner|review_date|video_source_url_1|stat_source_url_1|contract_source_url|medical_source_url|reviewer_summary|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|contract_feasibility_grade_20_80,above_average,above_average,strong,lower_current_risk,strong,contract/access,rich_6_plus,none,P0_read_existing_source_now,targeted_contract_access_read,not_started_locked,current_stat_page|recent_video_or_scouting_report|contract_access_source|medical_current_status_source|of_dh_role_and_defense_source|korea_or_overseas_willingness_source_if_available,[internal_card_name] stats 2026|[internal_card_name] video 2026|[internal_card_name] contract option salary|[internal_card_name] injury rehab availability|[internal_card_name] outfield defense role|[internal_card_name] platoon contact strikeout,"Attach one stat page, one recent video/report, and note contact floor plus OF/DH role evidence.","Verify contract/access, current roster or transaction status, medical availability, and Korea/overseas openness if available.",stat_source_url_1|video_source_url_1|contract_source_url|medical_source_url|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|reviewer_summary|continue_or_kill_reason,locked_source_rebuild_packet_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-08E3B8989A,foreign_hitter,Locked OF/DH fit review card,wave_1_rebuild_source_first,source_rebuild_before_video,cold_start_source_build,source_contract_reviewer,hitter_video_reviewer,No usable public article band is attached; build source file before any unlock discussion.,"Can we find two independent sources that confirm current role, status, and availability?",review_owner|review_date|video_source_url_1|stat_source_url_1|contract_source_url|medical_source_url|reviewer_summary|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|contract_feasibility_grade_20_80,above_average,strong,strong,lower_current_risk,watch,no_primary_high_risk_bucket_after_source_fill,none,none,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,not_started_locked,current_stat_page|recent_video_or_scouting_report|contract_access_source|medical_current_status_source|of_dh_role_and_defense_source|korea_or_overseas_willingness_source_if_available,[internal_card_name] stats 2026|[internal_card_name] video 2026|[internal_card_name] contract option salary|[internal_card_name] injury rehab availability|[internal_card_name] outfield defense role|[internal_card_name] platoon contact strikeout,"Attach one stat page, one recent video/report, and note contact floor plus OF/DH role evidence.","Verify contract/access, current roster or transaction status, medical availability, and Korea/overseas openness if available.",stat_source_url_1|video_source_url_1|contract_source_url|medical_source_url|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|reviewer_summary|continue_or_kill_reason,locked_source_rebuild_packet_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-112F9F0F27,foreign_hitter,Locked OF/DH fit review card,wave_1_rebuild_source_first,source_rebuild_before_video,cold_start_source_build,source_contract_reviewer,hitter_video_reviewer,No usable public article band is attached; build source file before any unlock discussion.,"Can we find two independent sources that confirm current role, status, and availability?",review_owner|review_date|video_source_url_1|stat_source_url_1|contract_source_url|medical_source_url|reviewer_summary|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|contract_feasibility_grade_20_80,strong,strong,strong,lower_current_risk,watch,contract/access,none,none,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,not_started_locked,current_stat_page|recent_video_or_scouting_report|contract_access_source|medical_current_status_source|of_dh_role_and_defense_source|korea_or_overseas_willingness_source_if_available,[internal_card_name] stats 2026|[internal_card_name] video 2026|[internal_card_name] contract option salary|[internal_card_name] injury rehab availability|[internal_card_name] outfield defense role|[internal_card_name] platoon contact strikeout,"Attach one stat page, one recent video/report, and note contact floor plus OF/DH role evidence.","Verify contract/access, current roster or transaction status, medical availability, and Korea/overseas openness if available.",stat_source_url_1|video_source_url_1|contract_source_url|medical_source_url|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|reviewer_summary|continue_or_kill_reason,locked_source_rebuild_packet_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-12A9D17009,foreign_hitter,Locked OF/DH fit review card,wave_1_rebuild_source_first,source_rebuild_before_video,cold_start_source_build,source_contract_reviewer,hitter_video_reviewer,No usable public article band is attached; build source file before any unlock discussion.,"Can we find two independent sources that confirm current role, status, and availability?",review_owner|review_date|video_source_url_1|stat_source_url_1|contract_source_url|medical_source_url|reviewer_summary|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|contract_feasibility_grade_20_80,above_average,strong,strong,lower_current_risk,watch,contract/access,none,none,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,not_started_locked,current_stat_page|recent_video_or_scouting_report|contract_access_source|medical_current_status_source|of_dh_role_and_defense_source|korea_or_overseas_willingness_source_if_available,[internal_card_name] stats 2026|[internal_card_name] video 2026|[internal_card_name] contract option salary|[internal_card_name] injury rehab availability|[internal_card_name] outfield defense role|[internal_card_name] platoon contact strikeout,"Attach one stat page, one recent video/report, and note contact floor plus OF/DH role evidence.","Verify contract/access, current roster or transaction status, medical availability, and Korea/overseas openness if available.",stat_source_url_1|video_source_url_1|contract_source_url|medical_source_url|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|reviewer_summary|continue_or_kill_reason,locked_source_rebuild_packet_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-223F6F34FF,foreign_hitter,Locked OF/DH fit review card,wave_1_rebuild_source_first,source_rebuild_before_video,cold_start_source_build,source_contract_reviewer,hitter_video_reviewer,No usable public article band is attached; build source file before any unlock discussion.,"Can we find two independent sources that confirm current role, status, and availability?",review_owner|review_date|video_source_url_1|stat_source_url_1|contract_source_url|medical_source_url|reviewer_summary|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|contract_feasibility_grade_20_80,watch,strong,strong,manageable_risk,watch,contract/access,none,none,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,not_started_locked,current_stat_page|recent_video_or_scouting_report|contract_access_source|medical_current_status_source|of_dh_role_and_defense_source|korea_or_overseas_willingness_source_if_available,[internal_card_name] stats 2026|[internal_card_name] video 2026|[internal_card_name] contract option salary|[internal_card_name] injury rehab availability|[internal_card_name] outfield defense role|[internal_card_name] platoon contact strikeout,"Attach one stat page, one recent video/report, and note contact floor plus OF/DH role evidence.","Verify contract/access, current roster or transaction status, medical availability, and Korea/overseas openness if available.",stat_source_url_1|video_source_url_1|contract_source_url|medical_source_url|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|reviewer_summary|continue_or_kill_reason,locked_source_rebuild_packet_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-438C64D126,foreign_hitter,Locked OF/DH fit review card,wave_1_rebuild_source_first,source_rebuild_before_video,cold_start_source_build,source_contract_reviewer,hitter_video_reviewer,No usable public article band is attached; build source file before any unlock discussion.,"Can we find two independent sources that confirm current role, status, and availability?",review_owner|review_date|video_source_url_1|stat_source_url_1|contract_source_url|medical_source_url|reviewer_summary|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|contract_feasibility_grade_20_80,above_average,above_average,strong,manageable_risk,watch,contract/access,none,none,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,not_started_locked,current_stat_page|recent_video_or_scouting_report|contract_access_source|medical_current_status_source|of_dh_role_and_defense_source|korea_or_overseas_willingness_source_if_available,[internal_card_name] stats 2026|[internal_card_name] video 2026|[internal_card_name] contract option salary|[internal_card_name] injury rehab availability|[internal_card_name] outfield defense role|[internal_card_name] platoon contact strikeout,"Attach one stat page, one recent video/report, and note contact floor plus OF/DH role evidence.","Verify contract/access, current roster or transaction status, medical availability, and Korea/overseas openness if available.",stat_source_url_1|video_source_url_1|contract_source_url|medical_source_url|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|reviewer_summary|continue_or_kill_reason,locked_source_rebuild_packet_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-6F3A88188E,foreign_hitter,Locked OF/DH fit review card,wave_1_rebuild_source_first,source_rebuild_before_video,cold_start_source_build,source_contract_reviewer,hitter_video_reviewer,No usable public article band is attached; build source file before any unlock discussion.,"Can we find two independent sources that confirm current role, status, and availability?",review_owner|review_date|video_source_url_1|stat_source_url_1|contract_source_url|medical_source_url|reviewer_summary|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|contract_feasibility_grade_20_80,above_average,above_average,strong,manageable_risk,watch,contract/access,none,none,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,not_started_locked,current_stat_page|recent_video_or_scouting_report|contract_access_source|medical_current_status_source|of_dh_role_and_defense_source|korea_or_overseas_willingness_source_if_available,[internal_card_name] stats 2026|[internal_card_name] video 2026|[internal_card_name] contract option salary|[internal_card_name] injury rehab availability|[internal_card_name] outfield defense role|[internal_card_name] platoon contact strikeout,"Attach one stat page, one recent video/report, and note contact floor plus OF/DH role evidence.","Verify contract/access, current roster or transaction status, medical availability, and Korea/overseas openness if available.",stat_source_url_1|video_source_url_1|contract_source_url|medical_source_url|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|reviewer_summary|continue_or_kill_reason,locked_source_rebuild_packet_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-7FE398D061,foreign_hitter,Locked OF/DH fit review card,wave_1_rebuild_source_first,source_rebuild_before_video,cold_start_source_build,source_contract_reviewer,hitter_video_reviewer,No usable public article band is attached; build source file before any unlock discussion.,"Can we find two independent sources that confirm current role, status, and availability?",review_owner|review_date|video_source_url_1|stat_source_url_1|contract_source_url|medical_source_url|reviewer_summary|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|contract_feasibility_grade_20_80,above_average,above_average,strong,lower_current_risk,watch,contract/access,none,none,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,not_started_locked,current_stat_page|recent_video_or_scouting_report|contract_access_source|medical_current_status_source|of_dh_role_and_defense_source|korea_or_overseas_willingness_source_if_available,[internal_card_name] stats 2026|[internal_card_name] video 2026|[internal_card_name] contract option salary|[internal_card_name] injury rehab availability|[internal_card_name] outfield defense role|[internal_card_name] platoon contact strikeout,"Attach one stat page, one recent video/report, and note contact floor plus OF/DH role evidence.","Verify contract/access, current roster or transaction status, medical availability, and Korea/overseas openness if available.",stat_source_url_1|video_source_url_1|contract_source_url|medical_source_url|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|reviewer_summary|continue_or_kill_reason,locked_source_rebuild_packet_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-837BF7072E,foreign_hitter,Locked OF/DH fit review card,wave_1_rebuild_source_first,source_rebuild_before_video,cold_start_source_build,source_contract_reviewer,hitter_video_reviewer,No usable public article band is attached; build source file before any unlock discussion.,"Can we find two independent sources that confirm current role, status, and availability?",review_owner|review_date|video_source_url_1|stat_source_url_1|contract_source_url|medical_source_url|reviewer_summary|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|contract_feasibility_grade_20_80,strong,strong,strong,lower_current_risk,watch,contract/access,none,none,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,not_started_locked,current_stat_page|recent_video_or_scouting_report|contract_access_source|medical_current_status_source|of_dh_role_and_defense_source|korea_or_overseas_willingness_source_if_available,[internal_card_name] stats 2026|[internal_card_name] video 2026|[internal_card_name] contract option salary|[internal_card_name] injury rehab availability|[internal_card_name] outfield defense role|[internal_card_name] platoon contact strikeout,"Attach one stat page, one recent video/report, and note contact floor plus OF/DH role evidence.","Verify contract/access, current roster or transaction status, medical availability, and Korea/overseas openness if available.",stat_source_url_1|video_source_url_1|contract_source_url|medical_source_url|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|reviewer_summary|continue_or_kill_reason,locked_source_rebuild_packet_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-8A8E2D579C,foreign_hitter,Locked OF/DH fit review card,wave_1_rebuild_source_first,source_rebuild_before_video,cold_start_source_build,source_contract_reviewer,hitter_video_reviewer,No usable public article band is attached; build source file before any unlock discussion.,"Can we find two independent sources that confirm current role, status, and availability?",review_owner|review_date|video_source_url_1|stat_source_url_1|contract_source_url|medical_source_url|reviewer_summary|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|contract_feasibility_grade_20_80,above_average,strong,strong,lower_current_risk,watch,contract/access,none,none,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,not_started_locked,current_stat_page|recent_video_or_scouting_report|contract_access_source|medical_current_status_source|of_dh_role_and_defense_source|korea_or_overseas_willingness_source_if_available,[internal_card_name] stats 2026|[internal_card_name] video 2026|[internal_card_name] contract option salary|[internal_card_name] injury rehab availability|[internal_card_name] outfield defense role|[internal_card_name] platoon contact strikeout,"Attach one stat page, one recent video/report, and note contact floor plus OF/DH role evidence.","Verify contract/access, current roster or transaction status, medical availability, and Korea/overseas openness if available.",stat_source_url_1|video_source_url_1|contract_source_url|medical_source_url|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|reviewer_summary|continue_or_kill_reason,locked_source_rebuild_packet_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-8AC421523C,foreign_hitter,Locked OF/DH fit review card,wave_1_rebuild_source_first,source_rebuild_before_video,cold_start_source_build,source_contract_reviewer,hitter_video_reviewer,No usable public article band is attached; build source file before any unlock discussion.,"Can we find two independent sources that confirm current role, status, and availability?",review_owner|review_date|video_source_url_1|stat_source_url_1|contract_source_url|medical_source_url|reviewer_summary|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|contract_feasibility_grade_20_80,strong,strong,strong,lower_current_risk,watch,contract/access,none,none,P1_rebuild_source_file_before_video,hitter_full_source_file_rebuild,not_started_locked,current_stat_page|recent_video_or_scouting_report|contract_access_source|medical_current_status_source|of_dh_role_and_defense_source|korea_or_overseas_willingness_source_if_available,[internal_card_name] stats 2026|[internal_card_name] video 2026|[internal_card_name] contract option salary|[internal_card_name] injury rehab availability|[internal_card_name] outfield defense role|[internal_card_name] platoon contact strikeout,"Attach one stat page, one recent video/report, and note contact floor plus OF/DH role evidence.","Verify contract/access, current roster or transaction status, medical availability, and Korea/overseas openness if available.",stat_source_url_1|video_source_url_1|contract_source_url|medical_source_url|primary_tool_grade_20_80|command_or_contact_grade_20_80|defense_or_workload_grade_20_80|translation_confidence_20_80|reviewer_summary|continue_or_kill_reason,locked_source_rebuild_packet_no_candidate_name_no_score_no_rank,False,False,False,False,False,False,False,locked_not_allowed
