source_id,source_type,title,year,local_status,local_path,url,project_use,remaining_gap
LIT001,peer_reviewed_pdf,Market Inefficiencies in the KBO League Players' Labor Market,2022,full_text_pdf_secured,data/external/literature/kbo_market_inefficiency_2022_kais.pdf,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002890312,market inefficiency and foreign-player regulation framing,none for core use
LIT002,peer_reviewed_pdf,A predictive model for a contract renewal of foreign pitchers in KBO using machine learning,2022,full_text_pdf_secured,data/external/literature/kbo_foreign_pitcher_renewal_ml_2022_jkdi.pdf,https://www.kdiss.org/journal/view.html?doi=10.7465%2Fjkdi.2022.33.6.963,foreign-pitcher success labels and ML feature inspiration,need inspect variables before feature replication
LIT003,open_access_article,Machine learning-based optimization of contract renewal predictions for foreign players in the Korean Baseball Organization,2023,metadata_and_web_access_secured,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10750069/,foreign-player renewal labels and model comparison,PMC web view had browser challenge in tool; retry via library or direct PDF if final citation needed
LIT004,thesis_pdf,Foreign players' adaptation process in Korea Baseball Organization,2021,full_text_pdf_secured,data/external/literature/kbo_foreign_player_adaptation_snu_thesis.pdf,https://s-space.snu.ac.kr/bitstream/10371/175542/1/000000165652.pdf,adaptation-risk variables and interview-based risk factors,extract exact variable list and examples
LIT005,open_access_pdf,Analyzing the Impact of the Automatic Ball-Strike System in Professional Baseball: A Case Study on KBO League Data,2024,full_text_pdf_secured,data/external/literature/kbo_abs_impact_arxiv_2024.pdf,https://arxiv.org/abs/2407.15779,ABS command and zone-translation thesis,arXiv preprint should be cross-checked with published version
LIT006,peer_reviewed_pdf,Analyzing the impact of the automatic ball strike system in professional baseball through a case study on KBO league data,2025,full_text_pdf_secured,data/external/literature/kbo_abs_impact_scientific_reports_2025.pdf,https://www.nature.com/articles/s41598-025-28142-y,peer-reviewed ABS evidence and KBO/MLB comparison,none for core use
LIT007,scouting_method,Explaining The 20-80 Baseball Scouting Scale,2025,web_source_secured,,https://www.baseballamerica.com/stories/explaining-the-20-80-baseball-scouting-scale/,translate metrics into scouting-card language,commercial site; cite sparingly
LIT008,scouting_method,Scouting Explained: The 20-80 Scouting Scale,2014,web_source_secured,,https://blogs.fangraphs.com/scouting-explained-the-20-80-scouting-scale/,20-80 proxy grades and five-tool structure,web source not peer-reviewed
LIT009,pitch_model,Stuff+ Location+ Pitching+ Primer,2024,web_source_secured,,https://library.fangraphs.com/pitching/stuff-location-and-pitching-primer/,separate stuff from location and command,web source not peer-reviewed
LIT010,projection_method,FanGraphs Projection Systems,2024,web_source_secured,,https://library.fangraphs.com/principles/projections/,weighted recent performance regression age and context,web source not peer-reviewed
