source_id,source_type,source_title,url,field_lesson,project_translation,related_tracks
SRC001,scouting,Scouting Explained: 20-80 Scale,https://blogs.fangraphs.com/scouting-explained-the-20-80-scouting-scale/,Use 20-80 tool grades and separate position-player tools from overall value,Convert model percentiles to 20-80 proxy grades for final cards,"2,3,4"
SRC002,scouting,Baseball America 20-80 Scale,https://www.baseballamerica.com/stories/explaining-the-20-80-baseball-scouting-scale/,Velocity alone is not a pitch grade; command and life matter,Do not rank foreign pitchers by velocity alone; include movement/location/workload,"2,3,4"
SRC003,scouting,ABCA MLB Talent Evaluators,https://www.abca.org/magazine/magazine/2013-1-Winter/Quick_Pitch_MLB_Talent_Evaluators.aspx,Scouts look for hitter hand speed sweet-spot contact and pitcher delivery/arm/body/pitches,Add qualitative scouting checklist to each candidate card,"2,4,6"
SRC004,pitch_model,Stuff+ Location+ Pitching+ Primer,https://library.fangraphs.com/pitching/stuff-location-and-pitching-primer/,Modern pitching evaluation separates physical stuff from location and overall process,Build separate stuff/location/ABS-command buckets for pitchers,"2,3,4"
SRC005,pitch_model,PitchingBot Pitch Modeling Primer,https://library.fangraphs.com/pitching/pitchingbot-pitch-modeling-primer/,Stuff is more stable than location; command/location must be modeled separately,Do not let strikeout or stuff mask location-risk in KBO ABS context,"2,3,4"
SRC006,hitter_tracking,Statcast Bat Tracking,https://baseballsavant.mlb.com/leaderboard/bat-tracking,Bat speed squared-up rate swing length and attack angle add process-level hitter evidence,Use bat tracking where available to validate hit/power runway candidates,"2,3"
SRC007,projection,FanGraphs Projection Systems,https://library.fangraphs.com/principles/projections/,Projection is true-talent estimation from past stats age and context,Use weighted recent performance regression age and context adjustments,"3,4"
SRC008,projection,FanGraphs Projection Rundown,https://library.fangraphs.com/the-projection-rundown-the-basics-on-marcels-zips-cairo-oliver-and-the-rest/,Public projections use weighted recent years regression aging park/league adjustments,Build KBO translation model before trusting raw foreign-league stats,"3"
SRC009,kbo_adaptation,SNU thesis on KBO foreign-player adaptation,https://s-space.snu.ac.kr/bitstream/10371/175542/1/000000165652.pdf,Internal adaptation factors can affect performance and re-signing,Add adaptation and role-support risk flags to candidate cards,"4,6"
SRC010,kbo_scouting,Yonhap Ryan Sadowski interview,https://en.yna.co.kr/view/AEN20150210006600315,KBO clubs use specialized foreign-player evaluation and advanced scouting,Mirror pro-scout process: data screen plus fit/risk report,"2,3,4,6"
SRC011,kbo_foreign_context,Foreign Players in the KBO: What the Future Holds,https://tht.fangraphs.com/foreign-players-in-the-kbo-what-the-future-holds/,Foreign pitchers have historically been expected to carry heavier innings loads,Weight workload/durability higher for regular foreign pitcher slot,"1,3,4"
SRC012,kbo_ml,ML-based KBO foreign-player renewal prediction,https://pubmed.ncbi.nlm.nih.gov/38149193/,Foreign-player outcomes can be modeled with pre-KBO and KBO performance data,Create historical success/failure labels for backtesting candidate model,"3,4"
SRC013,kbo_rules,KBO 2026 major rules page,https://www.koreabaseball.com/Kbo/League/GameManage2026.aspx,Asian quota changes roster construction and eligibility,Create hard rule gates before candidate scoring,"3,6"
SRC014,kbo_rules,KBO 2026 rule-change article,https://www.koreabaseball.com/MediaNews/News/KboPhoto/View.aspx?bdSe=520974,Asian quota has a tight 200k USD new-signing cost ceiling,Model surplus value under strict cost constraints,"2,6"
SRC015,kbo_rules,KBO 2024 replacement foreign player rule release,https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=9984,Injury replacement foreign players operate under six-week injury and 100k USD monthly cost rules,Maintain a pre-cleared short-window replacement pool,"4,6"
SRC016,club_release,SSG 2026 foreign-player contract releases,https://www.ssglanders.com/media/news/detail?idx=19829&page=,Current SSG foreign-player baseline defines realistic replacement economics,Calculate sunk cost and cap pressure before naming candidates,"1,6"
SRC017,club_release,SSG Veneziano contract release,https://www.ssglanders.com/media/news/detail?idx=19834&page=,SSG already used medical/rule feasibility to replace a foreign pitcher before the season,Add medical gate and immediate-availability fields,"4,6"
