card_id,slot,theme,claim,metric,observed,comparison,source_table,source_type,novelty_1_5,ssg_specificity_1_5,actionability_1_5,data_strength_1_5,evidence_score,caveat
aq_002_multi_inning_absorption,asian_quota,shock_absorption,The quota slot has practical value if it absorbs the innings created by short starts.,Bullpen IP after short starts,Short starts force 5.359 bullpen IP on average,Non-short starts force 3.429; gap 1.930 IP,outputs/tables/ssg_2026_game_pitching_workload.csv,STATIZ game-level workload,4,5,5,5,19,Does not prove an Asian quota pitcher is available with the required multi-inning profile.
aq_001_option_slot_rule,asian_quota,optionality_not_ace,"The Asian quota is structurally an option/depth slot, not a regular foreign ace substitute.",External message score and rule-market interpretation,"External message score 13; distinctiveness 5, actionability 4",Regular foreign pitcher slot should carry the rotation-pillar burden; Asian quota should reduce shock exposure.,outputs/tables/external_message_candidates_v1.csv,external rule/news synthesis,5,4,4,3,16,"The 2026 Asian quota market is new, so historical outcome validation is limited."
aq_003_text_corroboration,asian_quota,external_text_need,External article language repeatedly links SSG's pitcher issue to rotation shortage and bullpen load.,Naver pitching news tag counts,starter/rotation articles 2527; bullpen-load articles 795,"The article corpus supports shock-absorption as a public narrative, though it is query-biased.",outputs/tables/ssg_pitching_news_tag_summary.csv,Naver Search News metadata,3,4,3,3,13,"Search corpus is not a random sample and should be used as corroboration, not proof."
hit_001_runway_gap,foreign_hitter,runner_on_first_transition,SSG is elite after reaching RISP but bottom-tier before converting first-base traffic.,RISP OPS rank vs runner-on-first OPS rank,RISP OPS 0.831 rank 1; on-first OPS 0.649 rank 10,"RISP minus on-first OPS gap 0.182, largest in KBO",outputs/tables/ssg_2026_runway_gap_by_team.csv,STATIZ team situation rank,5,5,5,5,20,Team split does not identify individual foreign-candidate availability.
hit_002_role_location,foreign_hitter,of_dh_bottleneck,"The runner-on-first bottleneck is concentrated in replacement-relevant OF/DH usage, not the whole lineup.",Role-segment OPS with runner on first,"High-leverage OF OPS 0.383, RBI 0 in 52 PA; DH OPS 0.463",IF/C core OPS 0.757,outputs/tables/ssg_2026_role_runway_context.csv,STATIZ player/role split,4,5,5,4,18,Role labels are analytical groupings and should be reviewed before final presentation.
hit_003_gdp_transition_risk,foreign_hitter,inning_survival,"SSG needs a hitter who keeps the inning alive before RISP, not a hitter whose value starts only at RBI chances.",<2 outs runner-on-first OPS and GDP,High-leverage OF OPS 0.384; GDP 6 in 58 PA,This is the exact state that creates or kills future RISP chances.,outputs/tables/ssg_2026_role_runway_context.csv,STATIZ player/role split,4,5,5,4,18,GDP risk requires batted-ball shape validation from candidate-level data.
pit_001_short_start_core,foreign_pitcher,starter_runway_failure,"SSG's pitching problem starts in the rotation, not simply in bullpen quality.",Starter ranks and bullpen workload,"Starter ERA 5.679, WHIP 1.605, OPSA 0.783; all rank 10th in key stability metrics","Bullpen IP/G 4.251, workload rank 1, but WHIP rank 3 and OPSA rank 2",outputs/tables/ssg_2026_team_pitching_role_ranks.csv,STATIZ team role rank,4,5,5,5,19,Bullpen quality under fatigue still needs internal availability/rest data.
pit_002_game_script_delta,foreign_pitcher,game_script_compression,One extra starter inning changes the whole game script for SSG.,Short-start vs non-short-start games,Short starts 26/61; win pct 0.308; bullpen IP 5.359,Non-short win pct 0.514; bullpen IP 3.429,outputs/tables/ssg_2026_game_pitching_workload.csv,STATIZ game-level workload,4,5,5,5,19,Win pct is descriptive and not causal by itself.
pit_003_import_slot_inversion,foreign_pitcher,import_slot_failure,The import starter slot is amplifying SSG's rotation scarcity instead of absorbing it.,Import-slot starter performance vs domestic starter performance,"Import starters ERA 6.168, WHIP 1.733, OPSA 0.821","Domestic starters ERA 5.062, WHIP 1.443, OPSA 0.731",outputs/tables/ssg_2026_import_slot_pitching_impact.csv,STATIZ slot impact,5,5,5,4,19,Import-slot grouping depends on current name classification.
pit_004_abs_command_environment,foreign_pitcher,abs_native_command,KBO's ABS environment changes what 'command' should mean in foreign-pitcher scouting.,KBO 2024 vs 2023 ABS/called-zone model parameters,beta shift 176.4%; r shift 640.1%,"Higher beta and r imply a stricter, clearer, more rule-book-like zone than pre-ABS KBO.",outputs/tables/external_abs_zone_shift_summary.csv,external research/public result data,5,3,5,4,17,This is league-environment evidence; candidate-level KBO pitch-location data would strengthen it.
