model_id,layer,model_family,slot,target_or_score,main_features,validation,leakage_risk,promotion_rule,status
M000,gate_reproduction,deterministic_rule_checker,all,eligibility_and_feasibility,"KBO rules; salary ceiling; roster status; injury status; role gate",source_crosscheck_and_unit_tests,low,"all rules reproducible and manually auditable",planned
M010,ssg_need,trivial_rank_baseline,all,hidden_need_score,"team rank gaps; role splits; 2026 current context",source_split_and_time_sensitivity,low,"must beat generic OPS/ERA style narrative",planned
M011,ssg_need,z_score_composite,all,ssg_fit_score,"split z-scores; role concentration; state dependency; month/context gaps",time_holdout_and_ablation,medium,"promote if signal survives excluding 2026 partial sample",planned
M012,ssg_need,PCA_NMF,all,game_script_latent_factor,"STATIZ split matrix; role/game-state features",reconstruction_error_and_source_validation,medium,"promote only if factor maps to interpretable SSG action",planned
M013,ssg_need,IsolationForest_LOF,all,ssg_anomaly_score,"team split extremes; gap extremes; unusual role dependency",leave_one_team_out_sensitivity,medium,"promote if SSG anomaly repeats across sources/time",planned
M020,text_mining,TFIDF_BM25_NMF,all,text_need_score,"Naver titles; snippets; query tags; full text when secured",article_source_split_and_manual_review,medium,"article signal can corroborate but not create final claim alone",planned
M030,kbo_translation,logistic_ridge_elasticnet,all,kbo_success_probability,"pre-KBO performance; age; role; origin league; handedness; adaptation proxies",time_holdout_group_cv,medium,"promote if calibrated and stable across folds",planned
M031,kbo_translation,LightGBM_XGBoost_CatBoost,all,kbo_success_probability,"same as M030 plus interactions and nonlinear splits",time_holdout_group_cv,medium,"promote if improves holdout without unstable feature importance",planned
M032,kbo_translation,kNN_successful_comps,all,successful_comp_similarity,"20-80 proxy grades; role history; process stats; age; origin",historical_neighbor_backtest,low,"promote if nearest comps are baseball-plausible and outcome-aligned",planned
M040,failure_risk,logistic_tree_models,all,replacement_or_failure_risk,"injury; role mismatch; chase/command risk; workload interruption; adaptation flags",time_holdout_group_cv,high,"promote if catches known failures without rejecting all upside",planned
M041,failure_risk,survival_model,all,season_survival_probability,"contract type; age; role; performance; injury; origin; adaptation proxy",walk_forward_survival_validation,medium,"promote if survival calibration beats renewal baseline",planned
M050,availability,probabilistic_market_access,all,availability_score,"active flag; 40-man flag; DFA; injury list; age; position; current org",transaction_holdout_and_manual_audit,medium,"promote if market bucket aligns with verified transaction status",in_progress
M060,hitter_fit,slot_weighted_composite,foreign_hitter_of,ssg_hitter_fit_score,"BB%; chase; barrel; low-velo damage; break/off xwOBA; outfield role",2025_2026_sensitivity_and_ablation,medium,"promote if better than surface wOBA/HR ranking",planned
M061,pitcher_fit,slot_weighted_composite,foreign_pitcher,ssg_pitcher_fit_score,"starter workload; first-pitch non-ball; 3-ball exposure; damage suppression; RISP; early inning",2025_2026_sensitivity_and_ablation,medium,"promote if better than K-BB or ERA proxy ranking",in_progress
M062,asian_quota,option_value_model,asian_quota,low_cost_surplus_score,"eligibility; role flexibility; salary ceiling; innings/PA absorption; transition risk",scenario_sensitivity_and_manual_contract_audit,high,"promote if feasible under 200k USD ceiling and role value remains positive",planned
M070,final_rank,TOPSIS_Pareto_frontier,all,pareto_rank,"SSG fit; translation; risk; market access; surplus value; tool/process grades",rank_stability_and_ablation,low,"promote if top candidates stay stable under reasonable weight changes",planned
M071,final_rank,rank_average_blend,all,final_priority_score,"model ranks from gate; fit; translation; risk; market; text",OOF_rank_correlation_and_holdout,medium,"promote if diverse models improve robust shortlist",planned
M072,final_rank,LambdaMART_learning_to_rank,all,final_priority_score,"all candidate features and historical relevance labels",time_holdout_group_cv,high,"only use if historical labels are large enough",deferred
