slot,message_component,candidate_feature,evidence_rule_id,hard_gate_or_weight,existing_proxy_columns,missing_proxy_columns,covered_candidate_rows,total_candidate_rows_in_slot,proxy_any_coverage_rate,feature_join_status,candidate_release_allowed,release_policy
foreign_hitter,RHP game-script unlocker,vs_rhp_on_base_damage,R1_rhp_low_of_conversion_run_trade,core_weight,fit_ssg_rhp_unlock_proxy_pct|hitter_recent_woba|hitter_recent_hardhit_rate|hitter_recent_barrel_rate|hitter_hitter_savant_pilot_net_signal,,736,736,1.0,feature_contract_join_ready,False,layer1_2_freeze_backfill_sprint_no_current_candidate_release
foreign_hitter,run-kill avoidance,low_gdp_cs_run_kill_risk,R2_rhp_ofdh_run_kill,core_weight,fit_two_strike_survival_proxy_pct|hitter_recent_k_pct|hitter_recent_whiff_per_swing|hitter_recent_nonfast_whiff_per_swing|failure_risk_index|role_fit_risk,,736,736,1.0,proxy_join_ready_manual_direct_metric_still_needed,False,layer1_2_freeze_backfill_sprint_no_current_candidate_release
foreign_hitter,two-strike survival,two_strike_contact_floor,R2_rhp_ofdh_run_kill,supporting_weight,fit_two_strike_survival_proxy_pct|hitter_recent_k_pct|hitter_recent_whiff_per_swing|hitter_recent_nonfast_whiff_per_swing|hitter_hitter_savant_pilot_component_status,,736,736,1.0,feature_contract_join_ready,False,layer1_2_freeze_backfill_sprint_no_current_candidate_release
foreign_hitter,role stability,corner_of_or_dh_role_continuity,R1_rhp_low_of_conversion_run_trade,feasibility_gate,position_or_role|fit_candidate_side_primary_signal|market_realism_status|role_fit_risk|manual_source_lanes,,736,736,1.0,feature_contract_join_ready,False,layer1_2_freeze_backfill_sprint_no_current_candidate_release
foreign_pitcher,traffic-command stabilizer,low_free_pass_volatility,R3_extra_out_high_of_void,core_weight,fit_traffic_command_proxy_pct|pitcher_recent_three_ball_pitch_rate|pitcher_milb_2026_bb9|pitcher_pitcher_milb_damage_command_diagnostic_score|failure_risk_index,,1009,1009,1.0,feature_contract_join_ready,False,layer1_2_freeze_backfill_sprint_no_current_candidate_release
foreign_pitcher,starter length floor,five_inning_floor,R4_top_opponent_short_start_of_void,supporting_weight,fit_starter_runway_proxy_pct|pitcher_milb_role_context_score|pitcher_milb_2026_ip|pitcher_milb_2026_games_started|pitcher_milb_role_continuity_bucket,,1009,1009,1.0,feature_contract_join_ready,False,layer1_2_freeze_backfill_sprint_no_current_candidate_release
foreign_pitcher,extra-out resilience,damage_control_after_traffic,R3_extra_out_high_of_void,core_weight,fit_pitcher_diagnostic_pct|pitcher_recent_starter_stabilizer_score|pitcher_recent_woba_allowed|pitcher_milb_2026_hr9|pitcher_pitcher_milb_damage_command_diagnostic_score,,1009,1009,1.0,feature_contract_join_ready,False,layer1_2_freeze_backfill_sprint_no_current_candidate_release
foreign_pitcher,ABS adaptation,zone_command_not_called_strike_dependency,R3_extra_out_high_of_void,supporting_weight,fit_traffic_command_proxy_pct|pitcher_recent_three_ball_pitch_rate|pitcher_milb_2026_bb9|pitcher_pitcher_milb_diagnostic_tags|kbo_translation_risk,,1009,1009,1.0,proxy_join_ready_manual_direct_metric_still_needed,False,layer1_2_freeze_backfill_sprint_no_current_candidate_release
asian_quota,shock absorber,multi_inning_or_spot_start_flex,R4_top_opponent_short_start_of_void,role_gate,fit_npb_stat_context_score|fit_npb_performance_context_pct|fit_asian_league_history_score|asian_asian_league_history_gate|role_fit_risk,,978,978,1.0,feature_contract_join_ready,False,layer1_2_freeze_backfill_sprint_no_current_candidate_release
asian_quota,contract-realistic optionality,market_access_and_role_acceptance,Layer1_supporting_need,hard_gate,fit_asian_nationality_gate_score|fit_contract_unknown_penalty_score|fit_club_control_access_score|asian_quota_nationality_gate|contract_status_gate|new_signing_cost_gate,,978,978,1.0,feature_contract_join_ready,False,layer1_2_freeze_backfill_sprint_no_current_candidate_release
